id|user|created_at|text|lang|label|retweet_count|favorite_count
1483840678194987014|1237911282440982528|Wed Jan 19 16:36:00 +0000 2022|Requiring an ID to vote is common sense. I am not sure why so many Democrats are opposed to this.|en|R|17|178
1478538066944053250|1237911282440982528|Wed Jan 05 01:25:19 +0000 2022|If we don’t stand up now, when will we?|en|R|6|74
1477264057929547780|1237911282440982528|Sat Jan 01 13:02:52 +0000 2022|Happy New Year and Happy Birthday to Congresswoman Harshbarger!|en|R|4|22
1475971212329242628|1237911282440982528|Tue Dec 28 23:25:33 +0000 2021|Joe Biden has given up on the American people.|en|R|3|38
1474755957498470401|1237911282440982528|Sat Dec 25 14:56:34 +0000 2021|"For to us a child is born, to us a son is given; and the government shall be upon his shoulder, and his name shall be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace.” – Isaiah 9:6 

From my family to yours, Merry Christmas! https://t.co/zy53yPfjCB"|en|R|6|51
1468606139810164736|1237911282440982528|Wed Dec 08 15:39:23 +0000 2021|Thank you @GovBillLee https://t.co/Ld5LFgdQMA|en|R|4|10
1463639748963147776|1237911282440982528|Wed Nov 24 22:44:43 +0000 2021|"Found this heart shaped potato at the farm and it reminded me how much I love East Tennessee, and our Country.

I am thankful for the opportunity of a lifetime to represent my friends, family, and neighbors in TN01.

Happy Thanksgiving! 🍁🦃🍽 https://t.co/nwVx8dYY15"|en|R|3|51
1458799942110257154|1237911282440982528|Thu Nov 11 14:13:04 +0000 2021|God bless our veterans!|en|R|4|18
1458068666327646220|1237911282440982528|Tue Nov 09 13:47:14 +0000 2021|Happy birthday young man! https://t.co/0JnCL4YzVX|en|R|1|5
1455894706081107970|1237911282440982528|Wed Nov 03 13:48:41 +0000 2021|"Big wins for Republicans yesterday! 

But, it took Democrats’ radical messaging to win in VA. Their leftist views that parents have no say in their children’s education sparked a movement. 

‼️This will be remembered moving into 2022 and 2024 https://t.co/GHgtrNrOiD"|en|R|3|19
1455609165460774913|1237911282440982528|Tue Nov 02 18:54:03 +0000 2021|Are you paying attention America? https://t.co/djBOyWaiYI|en|R|156|920
1455570430035730441|1237911282440982528|Tue Nov 02 16:20:08 +0000 2021|"Virginians have a choice today, freedom or socialism.

Get out and vote for @GlennYoungkin ! https://t.co/LJVDNM0Bis"|en|R|5|28
1453365889315786752|1237911282440982528|Wed Oct 27 14:20:04 +0000 2021|"“Building Back Better” = 🤡

💰Rising inflation 
📉Supply chain issues
‼️#BidenBorderCrisis
🇦🇫Botched withdrawal 
💉Authoritarian vaccine mandates 
🚫Zero leadership or accountability

Hello? @POTUS @VP"|en|R|2|8
1450907627274358787|1237911282440982528|Wed Oct 20 19:31:49 +0000 2021|"This is an absolute disgrace. While Americans are held hostage in Haiti, our State Dept is focusing on pushing a political agenda.

We need to drastically shrink the size of government and weed out the political activist disguised as federal employees. https://t.co/bfANII0ru9"|en|R|4|16
1448321295171604481|1237911282440982528|Wed Oct 13 16:14:39 +0000 2021|Today would be a good day to close the border.|en|R|5|74
1448295880818401286|1237911282440982528|Wed Oct 13 14:33:40 +0000 2021|"I am excited to have my friend and fellow pharmacist @RichMoon23 in Congress to help fight Biden's extreme agenda.

Please give him a follow @RichMoon23 https://t.co/OvNgd06qTm"|en|R|8|13
1447642302638444546|1237911282440982528|Mon Oct 11 19:16:35 +0000 2021|It’s Columbus Day. https://t.co/mEiwZmBBi8|en|R|3|6
1445402225921118211|1237911282440982528|Tue Oct 05 14:55:19 +0000 2021|"Biden's America:

💸 Skyrocketing inflation

🚨 Rising crime

‼️ Border crisis

❌ Botched Afghanistan withdrawal

💉 Authoritarian vaccine &amp; mask mandates

Biden is leading an America last agenda."|en|R|5|13
